transaction_id,client_id,date_transaction,annee,mois,trimestre,jour_semaine,categorie,produit,type_operation,statut,agence,montant,devise,taux_change_eur,montant_eur,montant_eur_verifie,score_credit_client,categorie_risque,segment_client,solde_avant,is_anomaly
TXN000559,CLI0060,2022-04-19 02:31:00,2022,4,2,Tuesday,Depot especes,Compte Epargne,Credit,Complete,Marseille-Vieux-Port,2050.42,EUR,1.0,2050.42,2050.42,645.0,Medium,Premium,16415.1,False
TXN001154,CLI0057,2024-06-20 20:51:00,2024,6,2,Thursday,Retrait DAB,Credit Consommation,Debit,Rejete,Inconnue,-123.66,GBP,0.86,-143.79,-143.79,435.0,High,Risque,42890.81,False
TXN000764,CLI0015,2024-08-28 05:03:00,2024,8,3,Wednesday,Prelevement,PEA,Debit,Complete,Lyon-Part-Dieu,-396.17,EUR,1.0,-396.17,-396.17,648.0,Medium,Standard,48489.38,False
TXN001598,CLI0045,2024-01-07 08:16:00,2024,1,1,Sunday,Paiement CB,Credit Consommation,Credit,Complete,Bordeaux-Meriadeck,225.2,EUR,1.0,225.2,225.2,704.0,Low,Standard,43962.51,False
TXN001873,CLI0034,2024-08-11 19:52:00,2024,8,3,Sunday,Interets,Credit Immobilier,Credit,Complete,Bordeaux-Meriadeck,935.32,EUR,1.0,935.32,935.32,457.0,High,Risque,17312.83,False
TXN001864,CLI0061,2024-04-28 23:08:00,2024,4,2,Sunday,Remboursement credit,Compte Epargne,Debit,Rejete,Marseille-Vieux-Port,-256.73,CHF,0.97,-264.67,-264.67,341.0,High,Risque,29211.28,False
TXN000931,CLI0118,2023-09-13 12:04:00,2023,9,3,Wednesday,Depot especes,Compte Epargne,Credit,Rejete,Lille-Grand-Place,2752.67,EUR,1.0,2752.67,2752.67,641.0,Medium,Standard,30331.51,False
TXN000620,CLI0005,2022-05-11 08:57:00,2022,5,2,Wednesday,Remboursement credit,Livret A,Credit,Complete,Lille-Grand-Place,1962.49,EUR,1.0,1962.49,1962.49,694.0,Medium,Standard,46954.33,False
TXN000581,CLI0064,2022-10-24 11:30:00,2022,10,4,Monday,Paiement CB,Compte Courant,Credit,Complete,Lille-Grand-Place,363.52,GBP,0.86,422.7,422.7,800.0,Low,Premium,45270.95,False
TXN000726,CLI0085,2022-04-21 21:15:00,2022,4,2,Thursday,Virement international,Credit Consommation,Credit,Complete,Toulouse-Capitole,6451.32,EUR,1.0,6451.32,6451.32,390.0,High,Risque,19136.15,True
TXN000701,CLI0009,2023-11-08 18:40:00,2023,11,4,Wednesday,Depot especes,Compte Epargne,Credit,Rejete,Nice-Massena,2407.48,EUR,1.0,2407.48,2407.48,645.0,Medium,Standard,10289.81,False
TXN001018,CLI0031,2022-12-31 00:55:00,2022,12,4,Saturday,Remboursement credit,PEA,Debit,Complete,Bordeaux-Meriadeck,-1128.78,USD,1.08,-1045.17,-1045.17,559.0,High,Risque,10767.62,False
TXN001870,CLI0038,2023-08-24 04:11:00,2023,8,3,Thursday,Retrait DAB,Compte Epargne,Debit,Complete,Bordeaux-Meriadeck,-193.06,USD,1.08,-178.76,-178.76,516.0,High,Risque,17181.83,False
TXN001124,CLI0134,2022-09-27 10:27:00,2022,9,3,Tuesday,Paiement CB,Compte Courant,Debit,Complete,Nice-Massena,-199.89,USD,1.08,-185.08,-185.08,600.0,Medium,Standard,40008.59,False
TXN000116,CLI0077,2024-11-09 17:31:03,2024,11,4,Saturday,Virement international,Compte Courant,Debit,Complete,Paris-Centre,-5728.17,EUR,1.0,-5728.17,-5728.17,322.0,High,Risque,33722.94,True
TXN000420,CLI0110,2023-11-06 14:34:00,2023,11,4,Monday,Paiement CB,Credit Consommation,Credit,Complete,Toulouse-Capitole,83.25,CHF,0.97,85.82,85.82,629.0,Medium,Standard,15519.02,False
TXN001683,CLI0080,2024-02-18 08:14:00,2024,2,1,Sunday,Prelevement,Credit Consommation,Debit,En attente,Paris-Centre,-642.99,USD,1.08,-595.36,-595.36,645.0,Medium,Premium,36036.25,False
TXN001946,CLI0054,2022-09-24 14:46:00,2022,9,3,Saturday,Remboursement credit,Credit Immobilier,Debit,Complete,Bordeaux-Meriadeck,-658.41,USD,1.08,-609.64,-609.64,347.0,High,Standard,32208.9,False
TXN001726,CLI0036,2024-08-08 12:19:00,2024,8,3,Thursday,Remboursement credit,Compte Epargne,Credit,Complete,Marseille-Vieux-Port,962.1,MAD,10.85,88.67,88.67,572.0,High,Risque,14957.42,False
TXN001963,CLI0096,2022-05-02 03:39:00,2022,5,2,Monday,Virement international,PEA,Debit,Complete,Lyon-Part-Dieu,-7100.94,EUR,1.0,-7100.94,-7100.94,710.0,Low,Standard,39831.11,True
TXN000886,CLI0128,2024-05-12 03:07:00,2024,5,2,Sunday,Virement,Compte Epargne,Credit,Complete,Marseille-Vieux-Port,1385.72,MAD,10.85,127.72,127.72,683.0,Medium,Standard,1161.31,False
TXN001448,CLI0141,2023-12-07 13:40:03,2023,12,4,Thursday,Remboursement credit,Compte Courant,Credit,Complete,Lille-Grand-Place,99999.99,EUR,1.0,264.77,99999.99,726.0,Low,Premium,40456.23,True
TXN001458,CLI0137,2023-02-04 06:12:00,2023,2,1,Saturday,Paiement CB,Credit Immobilier,Debit,Rejete,Marseille-Vieux-Port,-237.86,EUR,1.0,-237.86,-237.86,725.0,Low,Premium,15778.59,False
